PREÇO,ÁREA,QUARTOS,BANHEIROS,VAGA GARAGEM
1400000.0,149.0,4.0,5.0,2.0
950000.0,72.0,2.0,2.0,2.0
3800000.0,246.0,4.0,6.0,4.0
1300000.0,110.0,3.0,4.0,2.0
4100000.0,292.0,4.0,5.0,3.0
1175000.0,105.0,3.0,3.0,1.0
1350000.0,126.0,3.0,2.0,2.0
1995000.0,224.0,4.0,6.0,3.0
1150000.0,83.0,2.0,2.0,0.0
3300000.0,270.0,4.0,4.0,2.0
2100000.0,207.0,3.0,2.0,1.0
2000000.0,101.0,4.0,1.0,2.0
680000.0,69.0,3.0,2.0,1.0
2200000.0,256.0,4.0,4.0,3.0
1580000.0,138.0,3.0,5.0,3.0
1100000.0,127.0,3.0,2.0,1.0
2800000.0,185.0,2.0,5.0,4.0
2800000.0,211.0,3.0,5.0,3.0
1600000.0,200.0,3.0,4.0,4.0
890000.0,75.0,3.0,3.0,2.0
640000.0,110.0,2.0,2.0,1.0
1500000.0,126.0,3.0,5.0,2.0
1150000.0,145.0,3.0,3.0,1.0
1270000.0,125.0,3.0,5.0,2.0
750000.0,87.0,3.0,3.0,2.0
1300000.0,159.0,3.0,3.0,1.0
1380000.0,116.0,2.0,2.0,1.0
555000.0,87.0,3.0,3.0,1.0
980000.0,70.0,2.0,2.0,1.0
550000.0,52.0,2.0,0.0,1.0
3600000.0,181.0,3.0,0.0,3.0
532000.0,58.0,2.0,2.0,1.0
1750000.0,153.0,3.0,4.0,1.0
650000.0,59.0,2.0,1.0,1.0
850000.0,84.0,3.0,2.0,2.0
1550000.0,138.0,2.0,4.0,2.0
2200000.0,150.0,2.0,0.0,2.0
670000.0,47.0,1.0,1.0,1.0
870000.0,105.0,3.0,3.0,2.0
350000.0,50.0,1.0,1.0,0.0
4700000.0,190.0,3.0,5.0,4.0
880000.0,93.0,3.0,3.0,3.0
1277000.0,92.0,3.0,3.0,2.0
5400000.0,247.0,4.0,6.0,5.0
1070000.0,122.0,3.0,3.0,2.0
485000.0,64.0,2.0,2.0,1.0
1350000.0,85.0,2.0,2.0,1.0
426000.0,101.0,3.0,2.0,2.0
1300000.0,200.0,4.0,5.0,4.0
1550000.0,113.0,2.0,3.0,1.0
3700000.0,220.0,4.0,4.0,4.0
3100000.0,229.0,4.0,6.0,4.0
3899000.0,350.0,3.0,6.0,2.0
915000.0,97.0,3.0,2.0,1.0
3650000.0,197.0,3.0,4.0,4.0
1650000.0,176.0,4.0,4.0,2.0
750000.0,59.0,1.0,2.0,1.0
1400000.0,179.0,4.0,4.0,2.0
1600000.0,116.0,3.0,3.0,1.0
2200000.0,157.0,3.0,5.0,2.0
1600000.0,115.0,3.0,3.0,1.0
1750000.0,163.0,3.0,4.0,3.0
6700000.0,310.0,3.0,6.0,5.0
2400000.0,150.0,2.0,3.0,2.0
6300000.0,370.0,2.0,5.0,5.0
1530000.0,107.0,3.0,2.0,1.0
2300000.0,186.0,3.0,4.0,4.0
2450000.0,174.0,3.0,5.0,3.0
3500000.0,264.0,3.0,5.0,3.0
1850000.0,230.0,3.0,3.0,2.0
5300000.0,263.0,4.0,5.0,4.0
5950000.0,290.0,3.0,5.0,4.0
2300000.0,186.0,3.0,4.0,4.0
3700000.0,300.0,4.0,5.0,4.0
5500000.0,285.0,4.0,4.0,3.0
1100000.0,100.0,3.0,3.0,1.0
2450000.0,174.0,3.0,5.0,3.0
920000.0,84.0,3.0,3.0,2.0
4255000.0,220.0,3.0,5.0,5.0
2900000.0,200.0,4.0,5.0,1.0
2970000.0,230.0,3.0,5.0,3.0
1800000.0,156.0,3.0,5.0,1.0
650000.0,80.0,2.0,2.0,1.0
4000000.0,231.0,3.0,5.0,3.0
1600000.0,116.0,3.0,3.0,1.0
1310000.0,144.0,3.0,4.0,1.0
2600000.0,283.0,4.0,5.0,6.0
1400000.0,179.0,4.0,4.0,2.0
3980000.0,307.0,4.0,5.0,3.0
2200000.0,157.0,3.0,5.0,2.0
1350000.0,120.0,3.0,3.0,2.0
1600000.0,180.0,2.0,5.0,3.0
3899000.0,350.0,3.0,6.0,2.0
2450000.0,207.0,3.0,2.0,2.0
3200000.0,166.0,3.0,3.0,3.0
5950000.0,290.0,3.0,5.0,4.0
650000.0,80.0,2.0,2.0,1.0
4000000.0,231.0,3.0,5.0,3.0
2900000.0,200.0,4.0,5.0,1.0
2280000.0,145.0,2.0,2.0,3.0
2500000.0,149.0,3.0,5.0,2.0
1400000.0,154.0,3.0,5.0,2.0
2650000.0,190.0,3.0,5.0,3.0
4200000.0,300.0,3.0,4.0,4.0
4500000.0,290.0,4.0,5.0,5.0
